date;Value;% Change;Open;High;Low;Turnover;
10.04.2012;513,40;-0,58;512,06;516,11;511,55;14.112.595;
09.04.2012;516,38;-0,41;517,86;519,55;514,08;13.099.748;
06.04.2012;518,51;-0,70;520,51;521,77;517,51;8.628.039;
05.04.2012;522,16;-0,65;522,76;524,47;520,70;12.366.383;
04.04.2012;525,59;-0,61;527,80;528,16;525,05;20.769.397;
03.04.2012;528,80;0,00;526,73;530,50;526,73;11.208.006;
02.04.2012;528,78;-0,59;530,92;532,03;528,78;20.968.891;
30.03.2012;531,93;0,70;528,71;533,97;528,20;84.289.574;
29.03.2012;528,24;-0,50;526,88;529,04;526,07;21.838.337;
28.03.2012;530,88;0,43;529,94;530,88;527,83;71.967.330;
27.03.2012;528,59;-0,71;530,54;531,85;527,89;161.991.564;
26.03.2012;532,37;-1,54;538,79;538,79;530,50;551.567.840;
23.03.2012;540,70;-0,46;544,00;544,73;532,54;12.086.679;
22.03.2012;543,22;0,08;542,74;543,98;542,34;17.283.145;
21.03.2012;542,78;-0,44;544,50;546,69;541,43;80.935.311;
20.03.2012;545,16;0,03;545,89;546,55;544,55;33.339.073;
19.03.2012;544,97;0,50;533,24;546,68;533,18;28.172.106;
16.03.2012;542,25;-0,43;543,46;547,11;540,37;50.106.241;
15.03.2012;544,61;-0,52;545,79;546,75;543,71;29.466.919;
14.03.2012;547,46;-0,53;549,83;556,26;545,54;22.634.387;
13.03.2012;550,38;-0,73;549,32;554,86;548,73;11.313.583;
12.03.2012;554,42;-0,15;557,84;558,45;552,36;7.473.386;
09.03.2012;555,28;-0,80;550,14;559,40;548,74;18.925.156;
08.03.2012;559,74;-0,96;567,80;568,24;559,38;13.886.148;
07.03.2012;565,16;-0,30;564,00;571,02;551,65;23.614.926;
06.03.2012;566,85;2,72;551,87;573,98;550,24;25.379.922;
05.03.2012;551,83;-0,08;551,78;555,45;548,92;19.094.445;
02.03.2012;552,27;0,39;550,35;555,92;550,35;12.785.808;
01.03.2012;550,14;0,24;546,16;551,77;546,16;13.174.822;
29.02.2012;548,85;1,24;542,09;550,34;541,20;41.335.561;
28.02.2012;542,15;1,34;537,20;542,87;533,74;70.457.719;
27.02.2012;534,99;-0,37;538,38;538,70;525,60;23.311.252;
24.02.2012;536,96;-0,42;535,64;537,83;532,18;9.995.050;
23.02.2012;539,23;-0,21;541,79;541,79;536,86;29.199.916;
22.02.2012;540,37;0,41;538,85;542,81;538,25;28.526.318;
21.02.2012;538,18;-0,67;540,72;542,28;537,88;105.436.762;
20.02.2012;541,82;0,38;537,37;542,04;532,36;52.050.857;
14.02.2012;539,79;-0,29;539,61;541,61;537,62;51.821.128;
13.02.2012;541,37;2,96;536,91;541,92;533,64;48.505.989;
